Aguascalientes,1
Calvillo,1
Pabellón de Arteaga,1
Rincón de Romos,1
Ensenada,2
Guadalupe Victoria (km. 43),2
Mexicali,2
Rodolfo Sánchez T. (maneadero),2
Santa Isabel,2
Tecate,2
Tijuana,2
Cabo San Lucas,3
Ciudad Constitución,3
La Paz,3
San José del Cabo,3
Campeche,4
Champotón,4
Ciudad del Carmen,4
Escarcega,4
Arriaga,5
Berriozabal,5
Cintalapa de Figueroa,5
Comitán de Domínguez,5
Huixtla,5
Las Rosas,5
Motozintla de Mendoza,5
Ocosingo,5
Ocozocoautla de Espinosa,5
Palenque,5
Reforma,5
San Cristóbal de las Casas,5
Tapachula de Córdoba y Ordóñez,5
Tonalá,5
Tuxtla Gutiérrez,5
Villaflores,5
Chihuahua,6
Cuauhtémoc,6
Delicias,6
Hidalgo del Parral,6
José Mariano Jiménez,6
Juan Aldama,6
Juárez,6
Manuel Ojinaga,6
Nuevo Casas Grandes,6
Pedro Meoqui,6
Santa Rosalía de Camargo,6
Allende,7
Ciudad Acuña,7
Ciudad Melchor Muzquiz,7
Francisco I. Madero,7
Monclova,7
Nueva Rosita - Cloete,7
Palau,7
Parras de la Fuente,7
Piedras Negras,7
Sabinas,7
Saltillo,7
San Buenaventura,7
San Pedro,7
Torreón,7
Colima,8
Manzanillo,8
Tecomán - Armeria,8
Ciudad de México,9
El Salto,10
Santiago Papasquiaro,10
Victoria de Durango,10
Amecameca de Juárez,11
Atlacomulco - Tecoac,11
Capulhuac - Santiago Tianguistenco,11
Ixtapan de la Sal,11
Los Baños,11
Ocoyoacac,11
Ozumba,11
San Bartolo del Llano - Santa Cruz Tepexpan,11
Santo Domingo,11
Tejupilco de Hidalgo,11
Temascalcingo - La Magdalena,11
Tenancingo de Degollado,11
Tenango - Satiaguito,11
Tequixquiac,11
Toluca,11
Valle de Bravo,11
Villa Cuauhtémoc,11
Xalatlaco - Santiago Tilapa,11
Abasolo,12
Acambaro,12
Apaseo el Alto,12
Apaseo el Grande,12
Celaya,12
Centro Familiar la Soledad,12
Comonfort,12
Cortazar,12
Dolores Hidalgo Cuna de la Indep. Nal.,12
Guanajuato,12
Irapuato,12
Jaral del Progreso,12
Juventino Rosas,12
León,12
Moroleón - Uriangato,12
Pénjamo,12
Romita,12
Salamanca,12
Salvatierra,12
San Felipe,12
San Francisco - Purísima,12
San Luis de la Paz,12
San Miguel de Allende,12
Silao,12
Valle de Santiago,12
Villagrán,12
Yuriria,12
Acapulco de Juárez,13
Arcelia,13
Atoyac de Alvarez,13
Chilapa de Alvarez,13
Chilpancingo de los Bravo,13
Ciudad Altamirano - Riva Palacio,13
Ciudad de Huitzuco,13
Iguala de la Independencia,13
Ometepec,13
Petatlán,13
San José Iturbide,13
Taxco de Alarcón,13
Tecpan de Galeana - El Suchil,13
Teloloapan,13
Tixtla de Guerrero,13
Tlapa de Comonfort,13
Tulancingo,13
Zihuatanejo,13
Zumpango del Río,13
Actopan,14
Apan,14
Ciudad Sahagún,14
Huejutla,14
Ixmiquilpan,14
Mixquiahuala - Progreso,14
Pachuca,14
Tepeji de Ocampo,14
Tezontepec de Aldama,14
Tlaxcoapan,14
Tula,14
Zacualtipán,14
Ameca,15
Arandas,15
Atotonilco el Alto,15
Autlán de Navarro,15
Chapala,15
Cihuatlán,15
Ciudad Guzmán,15
El Grullo,15
Encarnación de Díaz,15
Guadalajara,15
Ixtapa,15
Jalostotitlán,15
Jamay,15
Jocotepec,15
La Barca,15
Lagos de Moreno,15
Ocotlán,15
Puerto Vallarta,15
San Juan de los Lagos,15
San Miguel el Alto,15
Sayula,15
Tala,15
Tamazula de Gordiano,15
Teocaltiche,15
Tepatitlan de Morelos,15
Tequila,15
Tuxpan,15
Zacoalco de Torres,15
Zapotiltic,15
Zapotlanejo,15
Apatzingán de la Constitución,16
Ciudad Hidalgo,16
Huetamo de Núñez,16
Jiquilpan de Juárez,16
La Piedad - Santa Ana Pacueco,16
Lázaro Cárdenas,16
Los Reyes de Salgado,16
Maravatio de Ocampo,16
Morelia,16
Nueva Italia de Ruiz,16
Paracho de Verduzco,16
Pátzcuaro,16
Puruándiro,16
Sahuayo de Morelos,16
Tacámbaro de Codallos,16
Uruapan,16
Yurécuaro,16
Zacapu,16
Zamora,16
Zinapécuaro - Bocaneo,16
Zitacuaro,16
Axochiapan,17
Cuautla,17
Cuernavaca,17
Jojutla - Tlaquiltenango,17
Puente de Ixtla,17
Xoxocotla,17
Zacatepec - Santa Rosa,17
Acaponeta,18
Compostela,18
Ixtlán del Río,18
Santiago Ixcuintla,18
Tepic,18
Tuxpan,18
Anáhuac,19
Cadereyta Jiménez,19
Ciudad de Allende,19
Ciudad Sabinas Hidalgo,19
Linares,19
Montemorelos,19
Monterrey,19
Ciudad Ixtepec,20
Heroica Ciudad de Huajuapan de León,20
Juchitán de Zaragoza,20
Loma Bonita,20
Matías Romero,20
Miahuatlán de Porfirio Díaz,20
Oaxaca,20
Ocotlán de Morelos - San Antonio,20
Puerto Escondido - Zicatela,20
Salina Cruz,20
Santiago Pinotepa Nacional,20
Santo Domingo Tehuantepec,20
Tuxtepec,20
Acajete,21
Acatzingo - Los Reyes,21
Ajalpan - Altepeji,21
Atlixco,21
Ciudad Serdan,21
Huauchinango,21
Huejotzingo,21
Izúcar de Matamoros,21
Nuevo Necaxa - Tenango,21
Palmarito Tochapan,21
Puebla,21
San Lorenzo Chiautzingo - San Felipe Teotlalcingo,21
San Martín Texmelucan,21
Tecamachalco,21
Tehuacán,21
Tepeaca,21
Teziutlán,21
Xicotepec de Juárez,21
Zacatlán,21
Querétaro,22
San Juan del Río,22
Tequisquiapan,22
Cancún,23
Chetumal,23
Cozumel,23
Felipe Carrillo Puerto,23
Playa del Carmen,23
Ciudad Valles,24
Ebano,24
Matehuala,24
Rioverde - Ciudad Fernández,24
San Luis Potosí,24
Tamazunchale,24
Costa Rica,25
Culiacán Rosales,25
Escuinapa,25
Gabriel Leyva Solano (Benito Juárez),25
Guamuchil,25
Guasave,25
Heroica Caborca,25
Juan José Ríos,25
Lic. Benito Juárez (campo Gobierno),25
Los Mochis,25
Mazatlán,25
Navolato,25
Agua Prieta,26
Cananea,26
Ciudad Obregón,26
Esperanza,26
Guaymas,26
Hermosillo,26
Heroica Nogales,26
Huatabampo,26
Magdalena de Kino,26
Miguel Alemán (la Doce),26
Navojoa,26
Puerto Peñasco,26
San Luis Río Colorado,26
Cárdenas,27
Comalcalco,27
Cunduacan,27
Emiliano Zapata,27
Frontera,27
Huimanguillo,27
Macuspana,27
Paraiso,27
Teapa,27
Tenosique de Pino Suárez,27
Villahermosa,27
Ciudad Mante,28
Ciudad Miguel Alemán,28
Ciudad Río Bravo,28
Ciudad Victoria,28
Heroica Matamoros,28
Nuevo Laredo,28
Reynosa,28
San Fernando,28
Tampico,28
Valle Hermoso,28
Apizaco,29
Calpulalpan,29
Huamantla,29
Tlaxcala,29
Xaloztoc,29
Acayucan,30
Agua Dulce,30
Alamo,30
Altotonga,30
Alvarado,30
Catemaco,30
Cerro Azul,30
Coatepec,30
Coatzacoalcos,30
Córdoba,30
Cosamaloapan - Carlos A. Carrillo,30
Huatusco de Chicuellar,30
Isla,30
Jose Cardel - Cabezas,30
Las Choapas,30
Lerdo de Tejada,30
Martínez de la Torre,30
Minatitlán,30
Misantla,30
Naranjos,30
Orizaba,30
Pánuco,30
Papantla de Olarte,30
Perote,30
Poza Rica,30
San Andrés Tuxtla,30
Santiago Tuxtla,30
Tantoyuca,30
Tierra Blanca,30
Tlapacoyan,30
Tres Valles,30
Tuxpam,30
Veracruz,30
Xalapa,30
Hunucma,31
Mérida,31
Motul de Carrillo Puerto,31
Oxkutzcab,31
Peto,31
Progreso,31
Tekax de Alvaro Obregón,31
Ticul,31
Tizimín,31
Valladolid,31
Fresnillo,32
Jerez de García Salinas,32
Loreto,32
Nochistlán de Mejía,32
Ojocaliente,32
Río Grande,32
Sombrerete,32
Victor Rosales,32
Zacatecas,32
Montgomery,33
Birmingham,33
Juneau,34
Anchorage,34
Phoenix,35
Little Rock,36
Sacramento,37
Los Angeles,37
Denver,38
Hartford,39
Bridgeport,39
Dover,40
Wilmington,40
Tallahassee,41
Jacksonville,41
Atlanta,42
Honolulu,43
Boise,44
Springfield,45
Chicago,45
Indianapolis,46
Des Moines,47
Topeka,48
Wichita,48
Frankfort,49
Louisville,49
Baton Rouge,50
Augusta,51
Portland,51
Annapolis,52
Baltimore,52
Boston,53
Lansing,54
Detroit,54
Saint Paul,55
Minneapolis,55
Jackson,56
Jefferson,57
Kansas City,57
Helena,58
Billings,58
Lincoln,59
Omaha,59
Carson City,60
Las Vegas,60
Concord,61
Manchester,61
Trenton,62
Newark,62
Santa Fe,63
Albuquerque,63
Albany,64
New York,64
Raleigh,65
 Charlotte,65
Bismarck,66
Fargo,66
Columbus,67
Oklahoma,68
Salem,69
Portland,69
Harrisburg,70
Philadelphia,70
Providence,71
Columbia,72
Pierre,73
Sioux Falls,73
Nashville,74
Memphis,74
Austin,75
Houston,75
Salt Lake,76
Montpelier,77
Burlington,77
Richmond,78
Virginia Beach,78
Olympia,79
Seattle,79
Charleston,80
Madison,81
Milwaukee,81
Cheyenne,82
